Supermarket,Category,Product Title,Product Price,Base Price,Per unit,Product URL
Woolworths,Meat and Seafood,Macro Free Range Chicken Breast Schnitzel 500g,11.5,23.0,1KG,https://www.woolworths.com.au/shop/productdetails/114251/macro-free-range-chicken-breast-schnitzel
Woolworths,Meat and Seafood,Macro Free Range Australian Chicken Thigh Fillet 450g - 650g,12.68,19.5,1KG,https://www.woolworths.com.au/shop/productdetails/927529/macro-free-range-australian-chicken-thigh-fillet
Woolworths,Meat and Seafood,Woolworths Beef Porterhouse Steak 180g,9.0,50.0,1KG,https://www.woolworths.com.au/shop/productdetails/317294/woolworths-beef-porterhouse-steak
Woolworths,Meat and Seafood,Woolworths RSPCA Approved Chicken Drumsticks 2kg,7.5,3.75,1KG,https://www.woolworths.com.au/shop/productdetails/268605/woolworths-rspca-approved-chicken-drumsticks
Woolworths,Meat and Seafood,Woolworths Angus Beef & Caramelised Onion Sausages 450g,9.0,20.0,1KG,https://www.woolworths.com.au/shop/productdetails/260669/woolworths-angus-beef-caramelised-onion-sausages
Woolworths,Meat and Seafood,Primo Kransky Cheese From The Deli Per Kg,22.5,22.5,1KG,https://www.woolworths.com.au/shop/productdetails/217404/primo-kransky-cheese-from-the-deli
Woolworths,Meat and Seafood,Woolworths 16 Beef Chipolatas 550g,5.9,10.73,1KG,https://www.woolworths.com.au/shop/productdetails/901683/woolworths-16-beef-chipolatas
Woolworths,Meat and Seafood,Woolworths Lamb Leg Steak 540g,16.0,29.63,1KG,https://www.woolworths.com.au/shop/productdetails/827609/woolworths-lamb-leg-steak
Woolworths,Meat and Seafood,Woolworths 10 Chicken Sausages 550g,5.9,10.73,1KG,https://www.woolworths.com.au/shop/productdetails/901682/woolworths-10-chicken-sausages
Woolworths,Meat and Seafood,Primo Corned Beef Silverside Sliced From The Deli Per kg,24.0,24.0,1KG,https://www.woolworths.com.au/shop/productdetails/961813/primo-corned-beef-silverside-sliced-from-the-deli
Woolworths,Meat and Seafood,Woolworths Cook Beef Pepper Steaks 300g,8.0,26.67,1KG,https://www.woolworths.com.au/shop/productdetails/54241/woolworths-cook-beef-pepper-steaks
