Supermarket,Category,Product Title,Product Price,$ per kg/L,$ per piece,Base Price,Per unit,Product URL,Product Sale
Woolworths,Fruits and Veg,Galiko All Natural Ginger Minced Jar 145g,3.00,21.00,,0.21,10G,https://www.woolworths.com.au/shop/productdetails/185242/galiko-all-natural-ginger-minced-jar,
Woolworths,Fruits and Veg,Woolworths COOK Stir Fry Mix Rainbow Vegetables 400g,3.50,8.75,,8.75,1KG,https://www.woolworths.com.au/shop/productdetails/185251/woolworths-cook-stir-fry-mix-rainbow-vegetables,
Woolworths,Fruits and Veg,Woolworths Korean Style Salad Kit 400g,5.50,13.75,,13.75,1KG,https://www.woolworths.com.au/shop/productdetails/703827/woolworths-korean-style-salad-kit,
Woolworths,Fruits and Veg,Turnip Fresh each,1.44,,1.44,1.44,1EA,https://www.woolworths.com.au/shop/productdetails/199732/turnip-fresh,
Woolworths,Fruits and Veg,Macro Fresh Lettuce Baby Cos Organic Pack each,6.50,,6.50,6.5,1EA,https://www.woolworths.com.au/shop/productdetails/786006/macro-fresh-lettuce-baby-cos-organic-pack,
Woolworths,Fruits and Veg,Woolworths Chili Lime Salad Kit 350g,5.50,15.71,,15.71,1KG,https://www.woolworths.com.au/shop/productdetails/6036189/woolworths-chili-lime-salad-kit,
Woolworths,Fruits and Veg,Woolworths Caesar Salad Kit Tub 250g,6.50,26.00,,26.0,1KG,https://www.woolworths.com.au/shop/productdetails/169160/woolworths-caesar-salad-kit-tub,
Woolworths,Fruits and Veg,Red Grapes 400g,6.90,17.25,,17.25,1KG,https://www.woolworths.com.au/shop/productdetails/6056807/grape-premium-red-s-l-400g-red-grapes,
Woolworths,Fruits and Veg,Gourmet Garden Lightly Dried Chives 4g,4.00,1000.00,,10.0,10G,https://www.woolworths.com.au/shop/productdetails/555398/gourmet-garden-lightly-dried-chives,
Woolworths,Fruits and Veg,Woolworths Ranch Salad Kit 400g,5.50,13.75,,13.75,1KG,https://www.woolworths.com.au/shop/productdetails/901517/woolworths-ranch-salad-kit,
Woolworths,Fruits and Veg,Woolworths Mushrooms Shiitake Punnet 100g,6.90,69.00,,69.0,1KG,https://www.woolworths.com.au/shop/productdetails/143311/woolworths-mushrooms-shiitake-punnet,
Woolworths,Fruits and Veg,Woolworths Thai Style Salad Kit 315g,5.50,17.46,,17.46,1KG,https://www.woolworths.com.au/shop/productdetails/515547/woolworths-thai-style-salad-kit,
Woolworths,Fruits and Veg,Gourmet Garden Cold Blend Pastes Basil 80g,4.00,50.00,,0.5,10G,https://www.woolworths.com.au/shop/productdetails/948505/gourmet-garden-cold-blend-pastes-basil,
Woolworths,Fruits and Veg,The Odd Bunch Crazy Carrots 5kg,8.00,1.60,,1.6,1KG,https://www.woolworths.com.au/shop/productdetails/139330/the-odd-bunch-crazy-carrots,
Woolworths,Fruits and Veg,Pitted Medjool Dates Snack 340g,12.50,36.76,,36.76,1KG,https://www.woolworths.com.au/shop/productdetails/670109/snack-date-pitted-medjool-dates-snack,
Woolworths,Fruits and Veg,Woolworths COOK Stir Fry Mix Superfood Vegetables 250g,3.50,14.00,,14.0,1KG,https://www.woolworths.com.au/shop/productdetails/443314/woolworths-cook-stir-fry-mix-superfood-vegetables,
Woolworths,Fruits and Veg,Woolworths Cobb Salad Bowl 240g,6.50,27.08,,27.08,1KG,https://www.woolworths.com.au/shop/productdetails/164641/woolworths-cobb-salad-bowl,
Woolworths,Fruits and Veg,Organic Pumpkin Butternut each,5.90,,5.90,5.9,1EA,https://www.woolworths.com.au/shop/productdetails/685740/organic-pumpkin-butternut,
Woolworths,Fruits and Veg,Woolworths Little Gem Lettuce Combo 2 pack,4.90,,4.90,4.9,1EA,https://www.woolworths.com.au/shop/productdetails/823691/woolworths-little-gem-lettuce-combo,
Woolworths,Fruits and Veg,Gourmet Garden Cold Blend Pastes Ginger Value 115g,5.00,43.00,,0.43,10G,https://www.woolworths.com.au/shop/productdetails/59809/gourmet-garden-cold-blend-pastes,
Woolworths,Fruits and Veg,Macro Red Grapes Organic 500g,6.50,13.00,,13.0,1KG,https://www.woolworths.com.au/shop/productdetails/781399/macro-red-grapes-organic,
Woolworths,Fruits and Veg,Apple SnapDragon each,1.21,,1.21,1.21,1EA,https://www.woolworths.com.au/shop/productdetails/314347/apple-snapdragon,
Woolworths,Fruits and Veg,Parsnip Mini 350g,6.20,17.71,,17.71,1KG,https://www.woolworths.com.au/shop/productdetails/738337/parsnip-mini,
Woolworths,Fruits and Veg,Woolworths Red Cayenne Chilli Punnet 50g,3.90,78.00,,78.0,1KG,https://www.woolworths.com.au/shop/productdetails/876327/woolworths-red-cayenne-chilli-punnet,
Woolworths,Fruits and Veg,Passionfruit 6 pack,5.90,,0.98,0.98,1EA,https://www.woolworths.com.au/shop/productdetails/125222/passionfruit,
Woolworths,Fruits and Veg,Woolworths Garden Salad Bowl 180g,5.50,30.56,,30.56,1KG,https://www.woolworths.com.au/shop/productdetails/164646/woolworths-garden-salad-bowl,*ON SALE* Save $0.50
Woolworths,Fruits and Veg,Woolworths Whole Fresh Beetroot 500g,5.00,10.00,,10.0,1KG,https://www.woolworths.com.au/shop/productdetails/780372/woolworths-whole-fresh-beetroot,
Woolworths,Fruits and Veg,Woolworths Sweet Potato Mash 475g,7.10,14.90,,1.49,100G,https://www.woolworths.com.au/shop/productdetails/674323/woolworths-sweet-potato-mash-null,
Woolworths,Fruits and Veg,Macro Onion Spring Organic each,5.50,,5.50,5.5,1EA,https://www.woolworths.com.au/shop/productdetails/122674/macro-onion-spring-organic,
Woolworths,Fruits and Veg,Woolworths Four Seasons Coleslaw 400g,4.50,11.25,,11.25,1KG,https://www.woolworths.com.au/shop/productdetails/233567/woolworths-four-seasons-coleslaw-coleslaw,
Woolworths,Fruits and Veg,Pear Red Angel each,1.09,,1.09,1.09,1EA,https://www.woolworths.com.au/shop/productdetails/116404/pear-red-angel,
Woolworths,Fruits and Veg,Fresh Savoy Cabbage Quarter each,2.20,,2.20,2.2,1EA,https://www.woolworths.com.au/shop/productdetails/135006/fresh-savoy-cabbage-quarter,
Woolworths,Fruits and Veg,Macro Organic Broccoli 500g,9.50,19.00,,19.0,1KG,https://www.woolworths.com.au/shop/productdetails/810386/macro-organic-broccoli,
Woolworths,Fruits and Veg,Woolworths Corella Pear 750g,6.90,9.20,,9.2,1KG,https://www.woolworths.com.au/shop/productdetails/668580/woolworths-corella-pear,
Woolworths,Fruits and Veg,Woolworths Mexican Style Salad Bowl 220g,5.50,25.00,,25.0,1KG,https://www.woolworths.com.au/shop/productdetails/164645/woolworths-mexican-style-salad-bowl,*ON SALE* Save $0.50
Woolworths,Fruits and Veg,Macro Organic Herb Parsley Bunch each,4.90,,4.90,4.9,1EA,https://www.woolworths.com.au/shop/productdetails/427873/macro-organic-herb-parsley-bunch,
Woolworths,Fruits and Veg,Woolworths Carrot Dutch Bunch each,4.80,,4.80,4.8,1EA,https://www.woolworths.com.au/shop/productdetails/135334/woolworths-carrot-dutch-bunch,
Woolworths,Fruits and Veg,Macro Organic Dates Punnet 200g,8.50,42.50,,42.5,1KG,https://www.woolworths.com.au/shop/productdetails/318163/macro-organic-dates-punnet,
Woolworths,Fruits and Veg,Gourmet Garden Paste Coriander 80g,4.00,50.00,,0.5,10G,https://www.woolworths.com.au/shop/productdetails/948509/gourmet-garden-paste-coriander,
Woolworths,Fruits and Veg,Rhubarb Fresh Bunch each,6.20,,6.20,6.2,1EA,https://www.woolworths.com.au/shop/productdetails/147346/rhubarb-fresh-bunch,
Woolworths,Fruits and Veg,Birch & Waite Belgian Chocolate Dessert Sauce 130g,3.50,26.92,,26.92,1KG,https://www.woolworths.com.au/shop/productdetails/669459/birch-waite-belgian-chocolate-dessert-sauce,
Woolworths,Fruits and Veg,Cabbage Red Whole each,8.80,,8.80,8.8,1EA,https://www.woolworths.com.au/shop/productdetails/134984/cabbage-red-whole,
Woolworths,Fruits and Veg,Macro Organic Wild Rocket 100g,4.90,49.00,,49.0,1KG,https://www.woolworths.com.au/shop/productdetails/717236/organic-wild-rocket,
Woolworths,Fruits and Veg,Seedless Black Grapes 500g,5.90,11.80,,11.8,1KG,https://www.woolworths.com.au/shop/productdetails/6050533/seedless-black-grapes,
Woolworths,Fruits and Veg,Fresh Savoy Cabbage Half each,4.40,,4.40,4.4,1EA,https://www.woolworths.com.au/shop/productdetails/135030/fresh-savoy-cabbage-half,
Woolworths,Fruits and Veg,Macro Organic Beetroot 250g,4.80,19.20,,19.2,1KG,https://www.woolworths.com.au/shop/productdetails/806260/macro-organic-beetroot,
Woolworths,Fruits and Veg,Macro Organic Sweet Potato 500g,7.90,15.80,,15.8,1KG,https://www.woolworths.com.au/shop/productdetails/271214/macro-organic-sweet-potato,
Woolworths,Fruits and Veg,Macro Pumpkin Kent Cut Organic each,5.25,,5.25,5.25,1EA,https://www.woolworths.com.au/shop/productdetails/1632/macro-pumpkin-kent-cut-organic,
Woolworths,Fruits and Veg,Woolworths Washed & Ready To Cook Carrot Sticks 150g,1.60,10.67,,10.67,1KG,https://www.woolworths.com.au/shop/productdetails/158938/woolworths-washed-ready-to-cook-carrot-sticks,*ON SALE* Save $0.40
Woolworths,Fruits and Veg,Macro Organic Kale each,6.50,,6.50,6.5,1EA,https://www.woolworths.com.au/shop/productdetails/772786/macro-organic-kale,
Woolworths,Fruits and Veg,Woolworths Mushrooms Oyster Punnet 150g,6.90,46.00,,46.0,1KG,https://www.woolworths.com.au/shop/productdetails/179994/woolworths-mushrooms-oyster-punnet,
Woolworths,Fruits and Veg,Woolworths Bay Leaf Fresh Herb 10g,3.20,320.00,,3.2,10G,https://www.woolworths.com.au/shop/productdetails/707375/woolworths-bay-leaf-fresh-herb,
Woolworths,Fruits and Veg,Perfection Chinese Wombok Baby Whole each,4.00,,4.00,4.0,1EA,https://www.woolworths.com.au/shop/productdetails/179004/perfection-chinese-wombok-baby-whole,
Woolworths,Fruits and Veg,Woolworths Birdseye Chilli Hot 40g,3.90,97.50,,97.5,1KG,https://www.woolworths.com.au/shop/productdetails/189001/woolworths-birdseye-chilli-hot,
Woolworths,Fruits and Veg,Avofresh Avocado Lime & Black Pepper Tube 160g,5.70,35.60,,3.56,100G,https://www.woolworths.com.au/shop/productdetails/405658/avofresh-avocado-lime-black-pepper-tube,
Woolworths,Fruits and Veg,Black Grapes 400g,6.90,17.25,,17.25,1KG,https://www.woolworths.com.au/shop/productdetails/6056808/grape-premium-blks-l-400g-black-grapes,
Woolworths,Fruits and Veg,Happy Chop TearLess Brown Onions 500g,2.00,4.00,,4.0,1KG,https://www.woolworths.com.au/shop/productdetails/265225/happy-chop-tearless-brown-onions,
Woolworths,Fruits and Veg,Macro Certified Organic Salad Mix 100g,4.40,44.00,,44.0,1KG,https://www.woolworths.com.au/shop/productdetails/717238/macro-certified-organic-salad-mix,
Woolworths,Fruits and Veg,Woolworths White Flat Mushrooms Punnet 375g,7.00,18.67,,18.67,1KG,https://www.woolworths.com.au/shop/productdetails/215610/woolworths-white-flat-mushrooms-punnet,
